;FECHA;TMAX;TMIN;HR;PP
517;2011-08-27;;;;0.0
518;2011-08-28;;;;6.5
519;2011-08-29;;;;9.0
520;2011-08-30;;;;0.0
521;2011-08-31;;;;17.5
522;2011-08-01;;;;0.0
523;2011-08-02;;;;0.0
524;2011-08-03;;;;14.6
525;2011-08-04;;;;13.2
526;2011-08-05;;;;0.0
527;2011-08-06;;;;0.0
528;2011-08-07;;;;6.9
529;2011-08-08;;;;0.0
530;2011-08-09;;;;21.0
531;2011-08-10;;;;0.0
532;2011-08-11;;;;0.0
533;2011-08-12;;;;0.0
534;2011-08-13;;;;0.0
535;2011-08-14;;;;27.9
536;2011-08-15;;;;0.0
537;2011-08-16;;;;0.0
538;2011-08-17;;;;0.0
539;2011-08-18;;;;0.0
540;2011-08-19;;;;0.0
541;2011-08-20;;;;6.0
542;2011-08-21;;;;40.0
543;2011-08-22;;;;0.0
544;2011-08-23;;;;0.0
545;2011-08-24;;;;0.0
546;2011-08-25;;;;0.0
547;2011-08-26;;;;0.0
548;2011-08-27;;;;0.0
549;2011-08-28;;;;6.5
550;2011-08-29;;;;9.0
551;2011-08-30;;;;0.0
552;2011-08-31;;;;0.0
553;2011-09-01;;;;0.0
554;2011-09-01;;;;4.0
555;2011-09-02;;;;0.0
556;2011-09-03;;;;8.9
557;2011-09-04;;;;0.0
558;2011-09-05;;;;0.0
559;2011-09-06;;;;0.0
560;2011-09-07;;;;0.0
561;2011-09-08;;;;0.0
562;2011-09-09;;;;0.0
563;2011-09-10;;;;4.0
564;2011-09-11;;;;0.0
565;2011-09-12;;;;43.9
566;2011-09-13;;;;0.0
567;2011-09-14;;;;0.0
568;2011-09-15;;;;0.0
569;2011-09-16;;;;145.0
570;2011-09-17;;;;5.0
571;2011-09-18;;;;42.0
572;2011-09-19;;;;67.5
573;2011-09-20;;;;0.0
574;2011-09-21;;;;23.9
575;2011-09-22;;;;0.0
576;2011-09-23;;;;0.0
577;2011-09-24;;;;102.0
578;2011-09-25;;;;11.0
579;2011-09-26;;;;98.5
580;2011-09-27;;;;0.0
581;2011-09-28;;;;36.8
582;2011-09-29;;;;0.0
583;2011-09-30;;;;0.0
584;2011-10-01;;;;4.0
585;2011-10-02;;;;15.5
586;2011-10-03;;;;7.0
587;2011-10-04;;;;12.0
588;2011-10-05;;;;0.0
589;2011-10-06;;;;24.0
590;2011-10-07;;;;5.0
591;2011-10-08;;;;22.6
592;2011-10-09;;;;0.0
593;2011-10-10;;;;0.0
594;2011-10-11;;;;0.0
